studyName,Cruise,Year/Month,Station Start,Station End,Event Number,YearDay/Hour/Minute,Total Time,Ship Speed,Ship Course,Latitude Start,Longitude Start,Latitude End,Longitude End,Wind Speed Start,Wind Direction Start,Wind Speed End,Wind Direction End,Sea State,Salinity,Fluorometry,Habitat,Ice Cover,Ice Type,Ice Color,Depth,Notes
NBP21-13,2113,2111,400.08,400.1,106,3320018,38,9.4,313,-66.007,-67.96,-65.932,-68.147,13.2,216,12.4,227,3,33.99,1.19,0,0,0,0,357,"Sky opened up, no more fog"
NBP21-13,2113,2111,400.14,400.16,112,3320630,30,11.6,318,-65.632,-68.876,-65.551,-69.07,12.3,36,15.1,57,3,34.01,2.14,0,0,0,0,368,Sunny!
NBP21-13,2113,2111,400.16,400.18,113,3320732,27,10.5,318,-65.496,-69.199,-65.432,-69.351,18.2,57,17.9,60,4,34.02,2.62,0,0,0,0,369,NULL
NBP21-13,2113,2111,400.18,400.2,114,3320829,26,11.6,316,-65.368,-69.499,-65.293,-69.674,23.9,55,21.5,71,4,33.99,4.12,0,0,0,0,2700,NULL
NBP21-13,2113,2111,300.2,300.18,126,3330048,30,9.3,177,-65.824,-71.286,-65.919,-71.173,20.4,70,24.7,73,4,33.96,6.06,0,0,0,0,3114,Visibility to about 500m
NBP21-13,2113,2111,300.18,300.16,127,3330143,30,11.7,134,-65.979,-71.087,-66.059,-70.909,25.2,64,26,69,5,33.94,6.5,0,0,0,0,3030,NULL
NBP21-13,2113,2111,300.16,300.14,128,3330239,30,11.4,139,-66.107,-70.795,-66.182,-70.63,27.6,66,30.1,72,5,33.99,4.2,0,0,0,0,504,NULL
NBP21-13,2113,2111,300.14,300.12,129,3330332,31,10.6,130,-66.223,-70.536,-66.32,-70.305,33.7,62,29.9,69,6,34.01,1.03,0,0,0,0,506,"Skies opened up a bit, so many prions!!!"
NBP21-13,2113,2111,300.12,300.1,130,3330441,30,10.6,137,-66.374,-70.179,-66.447,-70.003,24.8,69,27.4,75,5,34.01,1.45,0,0,0,0,481,NULL
NBP21-13,2113,2111,300.1,300.08,131,3330658,30,8.2,133,-66.507,-69.86,-66.584,-69.678,16.6,79,13.5,79,3,34.02,1.59,0,0,0,0,495,NULL
NBP21-13,2113,2111,300.08,300.06,132,3330720,31,12.3,139,-66.633,-69.557,-66.699,-69.394,9.4,91,8.1,112,2,34.02,1.27,0,0,0,0,419,NULL
NBP21-13,2113,2111,300.06,600.04,133,3330824,28,11.1,134,-66.762,-69.243,-66.834,-69.069,8.1,92,6.2,72,1,34,1.28,0,0,0,0,215,NULL
NBP21-13,2113,2112,Gerlache,684.002,256,3480949,13,8,290,-64.64,-62.776,-64.605,-62.724,27.9,18,18.5,352,3,34.04,1.76,0,0,0,0,185,"Vis out to roughly 300m, snowing, before this estimated 6HUWH and 5 orcas and more birds, biospies taken"
NBP21-13,2113,2112,648.002,713.-004,257,3481002,27,10.5,45,-64.581,-62.653,-64.537,-62.491,19.3,67,14.7,55,3,33.9,1.31,0,0,0,0,732,"Shorter than halfway to next underway station, vis less than 900m"
NBP21-13,2113,2112,713.004,739.006,258,3481132,31,10.6,30,-64.414,-62.172,-64.344,-62.019,19,34,26,62,3,33.9,1.35,0,0,0,0,619,"Vis 300 to 500m, blowing snow"
